# Auto-generated from PAL->USA symbol reconciliation
# 2886 unique VA symbols
# Format: VA SymbolName
0x00100008 _start
0x00100100 RFU000_FullReset
0x00100110 ResetEE
0x00100120 SetGsCrt
0x00100130 RFU003
0x00100140 Exit
0x00100150 ResumeIntrDispatch
0x00100160 LoadExecPS2
0x00100170 ExecPS2
0x00100180 RFU008
0x00100190 RFU009
0x001001A0 AddSbusIntcHandler
0x001001B0 RemoveSbusIntcHandler
0x001001C0 Interrupt2Iop
0x001001D0 SetVTLBRefillHandler
0x001001E0 SetVCommonHandler
0x001001F0 SetVInterruptHandler
0x00100200 AddIntcHandler
0x00100220 RemoveIntcHandler
0x00100230 AddDmacHandler
0x00100250 RemoveDmacHandler
0x00100260 _EnableIntc
0x00100270 _DisableIntc
0x00100280 _EnableDmac
0x00100290 _DisableDmac
0x001002A0 SetAlarm
0x001002B0 ReleaseAlarm
0x001002C0 _iEnableIntc
0x001002D0 _iDisableIntc
0x001002E0 _iEnableDmac
0x001002F0 _iDisableDmac
0x00100300 iSetAlarm
0x00100310 iReleaseAlarm
0x00100320 CreateThread
0x00100330 DeleteThread
0x00100340 StartThread
0x00100350 ExitThread
0x00100360 ExitDeleteThread
0x00100370 TerminateThread
0x00100380 iTerminateThread
0x00100390 DisableDispatchThread
0x001003A0 EnableDispatchThread
0x001003B0 ChangeThreadPriority
0x001003C0 iChangeThreadPriority
0x001003D0 RotateThreadReadyQueue
0x001003E0 _iRotateThreadReadyQueue
0x001003F0 ReleaseWaitThread
0x00100400 iReleaseWaitThread
0x00100410 GetThreadId
0x00100420 ReferThreadStatus
0x00100430 iReferThreadStatus
0x00100440 SleepThread
0x00100450 WakeupThread
0x00100460 _iWakeupThread
0x00100470 CancelWakeupThread
0x00100480 iCancelWakeupThread
0x00100490 SuspendThread
0x001004A0 _iSuspendThread
0x001004B0 ResumeThread
0x001004C0 iResumeThread
0x001004D0 JoinThread
0x001004E0 SetupThread
0x001004F0 SetupHeap
0x00100500 EndOfHeap
