symbol,pal_va,usa_va,type,source_file,match_method,confidence,status,notes
_start,0x00100008,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_exit,0x001000B8,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_root,0x001000C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU000_FullReset,0x00100100,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ResetEE,0x00100110,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetGsCrt,0x00100120,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU003,0x00100130,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
Exit,0x00100140,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ResumeIntrDispatch,0x00100150,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
LoadExecPS2,0x00100160,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ExecPS2,0x00100170,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU008,0x00100180,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU009,0x00100190,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
AddSbusIntcHandler,0x001001A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RemoveSbusIntcHandler,0x001001B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
Interrupt2Iop,0x001001C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetVTLBRefillHandler,0x001001D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetVCommonHandler,0x001001E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetVInterruptHandler,0x001001F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
AddIntcHandler,0x00100200,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
AddIntcHandler2,0x00100210,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RemoveIntcHandler,0x00100220,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
AddDmacHandler,0x00100230,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
AddDmacHandler2,0x00100240,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RemoveDmacHandler,0x00100250,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_EnableIntc,0x00100260,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_DisableIntc,0x00100270,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_EnableDmac,0x00100280,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_DisableDmac,0x00100290,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetAlarm,0x001002A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ReleaseAlarm,0x001002B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iEnableIntc,0x001002C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iDisableIntc,0x001002D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iEnableDmac,0x001002E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iDisableDmac,0x001002F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iSetAlarm,0x00100300,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iReleaseAlarm,0x00100310,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
CreateThread,0x00100320,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DeleteThread,0x00100330,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
StartThread,0x00100340,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ExitThread,0x00100350,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ExitDeleteThread,0x00100360,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
TerminateThread,0x00100370,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iTerminateThread,0x00100380,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DisableDispatchThread,0x00100390,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
EnableDispatchThread,0x001003A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ChangeThreadPriority,0x001003B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iChangeThreadPriority,0x001003C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RotateThreadReadyQueue,0x001003D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iRotateThreadReadyQueue,0x001003E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ReleaseWaitThread,0x001003F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iReleaseWaitThread,0x00100400,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
GetThreadId,0x00100410,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ReferThreadStatus,0x00100420,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iReferThreadStatus,0x00100430,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SleepThread,0x00100440,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
WakeupThread,0x00100450,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iWakeupThread,0x00100460,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
CancelWakeupThread,0x00100470,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iCancelWakeupThread,0x00100480,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SuspendThread,0x00100490,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
_iSuspendThread,0x001004A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ResumeThread,0x001004B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iResumeThread,0x001004C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
JoinThread,0x001004D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetupThread,0x001004E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetupHeap,0x001004F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
EndOfHeap,0x00100500,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU063,0x00100510,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
CreateSema,0x00100520,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DeleteSema,0x00100530,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SignalSema,0x00100540,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iSignalSema,0x00100550,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
WaitSema,0x00100560,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
PollSema,0x00100570,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iPollSema,0x00100580,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ReferSemaStatus,0x00100590,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iReferSemaStatus,0x001005A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU073,0x001005B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetOsdConfigParam,0x001005C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
GetOsdConfigParam,0x001005D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
GetGsHParam,0x001005E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
GetGsVParam,0x001005F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetGsHParam,0x00100600,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetGsVParam,0x00100610,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
CreateEventFlag,0x00100620,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DeleteEventFlag,0x00100630,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
SetEventFlag,0x00100640,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU083_iSetEventFlag,0x00100650,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
ClearEventFlag,0x00100660,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU085_iClearEventFlag,0x00100670,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU086_WaitEvnetFlag,0x00100680,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU087_PollEvnetFlag,0x00100690,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU088_iPollEvnetFlag,0x001006A0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU089_ReferEventFlagStatus,0x001006B0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU090_iReferEventFlagStatus,0x001006C0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
RFU091,0x001006D0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
EnableIntcHandler,0x001006E0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iEnableIntcHandler,0x001006F0,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DisableIntcHandler,0x00100700,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iDisableIntcHandler,0x00100710,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
EnableDmacHandler,0x00100720,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
iEnableDmacHandler,0x00100730,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
DisableDmacHandler,0x00100740,,func,,unmatched,0.00,unmatched,PAL ELF not available for byte matching
