symbol,pal_va,usa_va,type,source_file,match_method,confidence,status,notes,source_path,source_line
_start,0x00100008,0x00100008,func,crt0.s,op_seq_hash,0.95,verified,struct match; sz_diff=0; src=prologue,/usr/local/sce/ee/lib/crt0.s,32
_exit,0x001000B8,0x0013C538,func,,fuzzy,0.95,candidate,fuzzy; sz_diff=0; src=extracted,,
RFU000_FullReset,0x00100100,0x00100100,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,33
ResetEE,0x00100110,0x00100110,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,34
SetGsCrt,0x00100120,0x00100120,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,35
RFU003,0x00100130,0x00100130,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,36
Exit,0x00100140,0x00100140,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,37
RFU005,0x00100150,0x00100150,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,38
LoadExecPS2,0x00100160,0x00100160,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,39
ExecPS2,0x00100170,0x00100170,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,40
RFU008,0x00100180,0x00100180,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,41
RFU009,0x00100190,0x00100190,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,42
AddSbusIntcHandler,0x001001A0,0x001001A0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,43
RemoveSbusIntcHandler,0x001001B0,0x001001B0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,44
Interrupt2Iop,0x001001C0,0x001001C0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,45
SetVTLBRefillHandler,0x001001D0,0x001001D0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,46
SetVCommonHandler,0x001001E0,0x001001E0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,47
SetVInterruptHandler,0x001001F0,0x001001F0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,48
AddIntcHandler,0x00100200,0x00100200,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,51
AddIntcHandler2,0x00100210,0x00100200,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,51
RemoveIntcHandler,0x00100220,0x00100220,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,53
AddDmacHandler,0x00100230,0x00100230,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,54
AddDmacHandler2,0x00100240,0x00100230,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,54
RemoveDmacHandler,0x00100250,0x00100250,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,56
_EnableIntc,0x00100260,0x00100260,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,57
_DisableIntc,0x00100270,0x00100270,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,58
_EnableDmac,0x00100280,0x00100280,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,59
_DisableDmac,0x00100290,0x00100290,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,60
SetAlarm,0x001002A0,0x001002A0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,61
ReleaseAlarm,0x001002B0,0x001002B0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,62
_iEnableIntc,0x001002C0,0x001002C0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,63
_iDisableIntc,0x001002D0,0x001002D0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,64
_iEnableDmac,0x001002E0,0x001002E0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,65
_iDisableDmac,0x001002F0,0x001002F0,func,klib.s,raw_sha1,1.00,verified,exact; src=prologue,klib.s,66
