symbol,pal_va,type,source_file,source_path,source_line
_start,0x00100008,func,crt0.s,/usr/local/sce/ee/lib/crt0.s,32
_exit,0x001000B8,func,crt0.s,/usr/local/sce/ee/lib/crt0.s,110
RFU000_FullReset,0x00100100,func,klib.s,klib.s,33
ResetEE,0x00100110,func,klib.s,klib.s,34
SetGsCrt,0x00100120,func,klib.s,klib.s,35
RFU003,0x00100130,func,klib.s,klib.s,36
Exit,0x00100140,func,klib.s,klib.s,37
RFU005,0x00100150,func,klib.s,klib.s,38
LoadExecPS2,0x00100160,func,klib.s,klib.s,39
ExecPS2,0x00100170,func,klib.s,klib.s,40
RFU008,0x00100180,func,klib.s,klib.s,41
RFU009,0x00100190,func,klib.s,klib.s,42
AddSbusIntcHandler,0x001001A0,func,klib.s,klib.s,43
RemoveSbusIntcHandler,0x001001B0,func,klib.s,klib.s,44
Interrupt2Iop,0x001001C0,func,klib.s,klib.s,45
SetVTLBRefillHandler,0x001001D0,func,klib.s,klib.s,46
SetVCommonHandler,0x001001E0,func,klib.s,klib.s,47
SetVInterruptHandler,0x001001F0,func,klib.s,klib.s,48
AddIntcHandler,0x00100200,func,klib.s,klib.s,51
AddIntcHandler2,0x00100210,func,klib.s,klib.s,52
RemoveIntcHandler,0x00100220,func,klib.s,klib.s,53
AddDmacHandler,0x00100230,func,klib.s,klib.s,54
AddDmacHandler2,0x00100240,func,klib.s,klib.s,55
RemoveDmacHandler,0x00100250,func,klib.s,klib.s,56
_EnableIntc,0x00100260,func,klib.s,klib.s,57
_DisableIntc,0x00100270,func,klib.s,klib.s,58
_EnableDmac,0x00100280,func,klib.s,klib.s,59
_DisableDmac,0x00100290,func,klib.s,klib.s,60
SetAlarm,0x001002A0,func,klib.s,klib.s,61
ReleaseAlarm,0x001002B0,func,klib.s,klib.s,62
_iEnableIntc,0x001002C0,func,klib.s,klib.s,63
_iDisableIntc,0x001002D0,func,klib.s,klib.s,64
_iEnableDmac,0x001002E0,func,klib.s,klib.s,65
_iDisableDmac,0x001002F0,func,klib.s,klib.s,66
iSetAlarm,0x00100300,func,klib.s,klib.s,67
iReleaseAlarm,0x00100310,func,klib.s,klib.s,68
CreateThread,0x00100320,func,klib.s,klib.s,71
DeleteThread,0x00100330,func,klib.s,klib.s,72
