symbol,usa_va,size,confidence
movie_abort_check,0x001025E0,8,0.85
SetRootMatrixRotOffset,0x00102DD8,8,0.85
RotCurrentQuaternionY,0x0010DBC8,8,0.85
SetQuaternionByAxisRotateV,0x001019A0,8,1.00
light_InitLight,0x001049B4,8,1.00
_InnerProduct,0x00118B10,8,0.85
tex_LoadTexture,0x0012FFE8,8,0.85
iosCdvdHandlerReadInflate,0x00130448,8,1.00
iosCdvdBackGroundMgrAdd,0x00132928,8,0.85
iosMsgQueueDestroy,0x0013A1F8,8,0.85
iosPadEnable,0x0013B758,8,0.85
iosPadEnableGet,0x001394E8,8,1.00
iosPadActStopAll,0x0013B870,8,0.85
ShockRequestBox_Request,0x0013C4B8,8,0.85
Reset_ShockRequestStruct,0x0013CC70,8,0.85
isysGObjGetExist_begin,0x0013EBA8,8,0.85
isysGObjRemoveObjDL,0x0013ED58,8,0.85
soundSeEnvNotUseClose,0x001147C4,8,1.00
_ACTCharStatus_Init,0x00149F18,8,0.85
ACTMotDirToWall,0x0015D518,8,0.85
actEnemyBodylift,0x0015F648,8,0.85
DrawGObjWallCollision,0x001651F0,8,0.85
get_wp_nearest_bridge_side_bridge,0x00178928,8,0.85
scpTriggerBallTargetMan,0x001024B0,8,1.00
_CameraEdit_BOX,0x00185280,8,0.85
CameraGetOtherObjOffset,0x0010A78C,8,1.00
correct_vector,0x0018B2F8,8,0.85
IsPointIsInScreen,0x0010A4E4,8,0.95
GatherEffect_Proc,0x001949B0,8,0.85
bossCtrlBeforeFunc,0x0018CEF8,8,1.00
actBossCtrlStart,0x001956E0,8,0.85
ReadSoundSqFile,0x0019F8F0,8,0.85
la_load_game_memory_card_check,0x00107268,8,1.00
lt_prev_layout,0x001AAF20,8,1.00
staffRollWide,0x001B4F50,8,0.85
GetAP1SpecType,0x001B6E50,8,0.85
InitBoyGeo,0x001049B4,8,1.00
GetChainAnimation,0x001C08B0,8,0.85
EnemySetfDisappear,0x001024B0,8,1.00
HandManager,0x001CEB10,8,0.85
