object_file,name,pal_va,resolved_calls,usa_candidates
GifPacket.o,gif_EndPacket,0x0010FD98,0,0
GifPacket.o,gif_EndPacketPath1,0x0010FED0,0,0
GifPacket.o,gif_MakeLine2DOffset,0x0010FFE8,0,0
GifPacket.o,gif_MakeSprite,0x00110110,0,0
GifPacket.o,gif_MakeSpriteOffset,0x00110290,0,0
GifPacket.o,gif_MakeSpriteWithStrip,0x00110428,0,0
GifPacket.o,gif_PointOffset,0x00110690,0,0
GifPacket.o,gif_Line,0x001107B8,0,0
GifPacket.o,gif_Sprite,0x00110948,0,0
GifPacket.o,gif_SpriteSensitive,0x00110B48,0,0
GifPacket.o,gif_SpriteOffset,0x00110CE8,0,0
GifPacket.o,gif_SpriteSensitiveOffset,0x00110EF8,0,0
GifPacket.o,gif_SpriteOrg,0x001110B0,0,0
GifPacket.o,gif_SpriteSensitiveOrg,0x00111258,0,0
GifPacket.o,gif_SetDrawEnviroment,0x001113A0,0,0
GifPacket.o,gif_DrawPolyF4,0x00111568,0,0
GifPacket.o,gif_DrawStripF,0x00111870,0,0
GifPacket.o,gif_DrawStripG,0x00111A30,0,0
GifPacket.o,gif_Draw2DStripG,0x00111C38,0,0
GifPacket.o,gif_Draw2DUVStripG,0x00111E10,0,0
GifPacket.o,gif_Init,0x00112018,0,0
GifPacket.o,gif_StartPacketPri,0x00112020,0,0
GifPacket.o,gif_StartPacketPriPath1,0x00112050,0,0
GifPacket.o,gif_SetGsReg,0x00112080,0,0
GifPacket.o,gif_CheckOpen,0x001120A8,0,0
GifPacket.o,gif_MakePoint2D,0x001120B0,0,0
GifPacket.o,gif_MakePoint2DOffset,0x00112178,0,0
GifPacket.o,gif_MakeLine2D,0x00112250,0,0
GifPacket.o,gif_MakeSpriteNoTexture,0x00112360,0,0
GifPacket.o,gif_MakeSpriteNoTextureOffset,0x00112458,0,0
GifPacket.o,gif_Point,0x00112568,0,0
GifPacket.o,gif_LineOffset,0x00112660,0,0
GifPacket.o,gif_SetAlpha,0x00112710,1,0
GifPacket.o,gif_MoveImage,0x001127B0,0,0
GifPacket.o,gif_SetZTest,0x001128B0,0,0
GifPacket.o,gif_SetZWrite,0x001128F0,0,0
GifPacket.o,gif_SetHalfOffset,0x00112948,0,0
GifPacket.o,_IsInScreen,0x001129C8,0,0
end.o,actEndDemo01,0x00206AC8,0,0
end.o,actConte14_1,0x00206BD8,0,0
end.o,actEndDemo02,0x00206E88,0,0
end.o,actConte14_2,0x00206FC8,0,0
end.o,actEndDemo06,0x00207208,0,0
end.o,actConte14_6,0x00207340,0,0
end.o,actEndDemo07,0x00207450,0,0
end.o,actConte14_7,0x00207540,0,0
end.o,actEndDemo10,0x00207710,0,0
end.o,actConte14_10,0x002077F0,0,0
end.o,actConte14_13,0x00207AF0,0,0
end.o,actStaff1Demo,0x00207BF0,0,0
end.o,actStaff2Demo,0x00207F08,0,0
end.o,actStaff3Demo,0x002082A0,0,0
end.o,actEndDemo14,0x002085A0,0,0
end.o,actConte14_14,0x00208698,0,0
end.o,actSt27aEndChk,0x002088B8,0,0
end.o,actSt27aEndDemo,0x00208A38,0,0
end.o,actEndDemo03,0x00208B58,0,0
end.o,actEndDemo04,0x00208C00,0,0
end.o,actEndDemo05,0x00208CA8,0,0
end.o,actEndDemo11,0x00208D20,0,0
end.o,actEndDemo12,0x00208DA8,0,0
end.o,actEndDemo13,0x00208E30,0,0
end.o,actStaff1,0x00208ED0,0,0
end.o,actStaff2,0x00208FA8,0,0
end.o,actStaff3,0x00209040,0,0
end.o,actSt27aEnd,0x002090D8,0,0
end.o,actEndLogo,0x00209150,0,0
end.o,actEndDemo01Chk,0x002091B8,0,0
end.o,actEndDemo02Chk,0x00209258,0,0
end.o,actEndDemo03Chk,0x002092E0,0,0
end.o,actConte14_3,0x00209368,0,0
end.o,actEndDemo04Chk,0x002093E0,0,0
end.o,actConte14_4,0x00209468,0,0
end.o,actEndDemo05Chk,0x002094E0,0,0
end.o,actConte14_5,0x00209510,0,0
end.o,actEndDemo06Chk,0x00209590,0,0
end.o,actEndDemo07Chk,0x002095C8,0,0
end.o,actEndDemo10Chk,0x00209648,0,0
end.o,actConte14_10_Jimaku,0x002096F0,0,0
end.o,actEndDemo11Chk,0x00209880,0,0
end.o,actConte14_11,0x002098B0,0,0
end.o,actEndDemo12Chk,0x00209938,0,0
end.o,actConte14_12,0x00209968,0,0
end.o,actEndDemo13Chk,0x002099F0,0,0
end.o,actStaff1Chk,0x00209A20,0,0
end.o,actStaff2Chk,0x00209A48,0,0
end.o,actStaff3Chk,0x00209A80,0,0
end.o,actStaff3RollChk,0x00209AB8,0,0
end.o,actEndDemo14Chk,0x00209B28,0,0
end.o,actEndLogoChk,0x00209B58,0,0
girl_act.o,funcGirlHandDisconnect,0x001685F0,0,0
girl_act.o,motGirlHand50,0x00168618,0,0
girl_act.o,motGirlHand100,0x001687A0,0,0
girl_act.o,motGirlHand200,0x00168960,2,0
girl_act.o,subGirlBrainMain,0x00169BF8,0,0
girl_act.o,subGirlBrain_Pulledup,0x0016ACE8,0,0
girl_act.o,subGirlBrain_Attract,0x0016B4D0,2,0
girl_act.o,subGirlBrain_Hide,0x0016CB48,1,0
girl_act.o,subGirlBrain_Escape,0x0016D988,0,0
girl_act.o,ClipTwinVector,0x0016E0C0,2,0
girl_act.o,subGirlBrain_HideAdvance,0x0016F478,0,0
girl_act.o,WayTest,0x0016F908,0,0
girl_act.o,subGirlControl,0x0016FB88,0,0
girl_act.o,subGirlCollision,0x001702F0,0,0
girl_act.o,actGirlHand,0x00171548,0,0
girl_act.o,actGirlPulledReady,0x00171F88,0,0
girl_act.o,actGirlPulledGo,0x001720D8,0,0
girl_act.o,actGirlDitch3mReady,0x00172240,0,0
girl_act.o,actGirlReadyMove,0x00172328,0,0
girl_act.o,actGirlRescueDst,0x00172460,0,0
girl_act.o,actGirlSupportBGBegin,0x00172708,0,0
girl_act.o,actGirlStart,0x00172860,0,0
girl_act.o,GirlAct_BoyAndMeCollisionMail,0x00172A38,0,0
girl_act.o,IsGirlStatusEscortEnable,0x00172BC0,0,0
girl_act.o,DebugDispAutoEscort,0x00172D58,0,0
girl_act.o,ACTGame_GirlBeforeFunc,0x00172F90,0,0
girl_act.o,actGirlSupportGBBegin,0x00172FC8,0,0
girl_act.o,actGirlSupportGBLoop,0x00173098,0,0
girl_act.o,actGirlSupportGBEnd,0x001730F8,0,0
girl_act.o,actGirlHangG3M,0x00173128,0,0
girl_act.o,actGirlDitch3mExec,0x00173170,0,0
girl_act.o,actGirlStand,0x00173270,0,0
girl_act.o,actGirlWalk,0x001732B8,0,0
girl_act.o,actGirlRun,0x00173300,0,0
girl_act.o,actGirlHang,0x00173348,0,0
girl_act.o,actGirlBHang,0x001733C0,0,0
girl_act.o,actGirlAttack,0x00173440,0,0
girl_act.o,actGirlBecall,0x00173488,0,0
girl_act.o,actGirlBehanged,0x00173580,0,0
girl_act.o,actGirlAttractAction,0x00173608,0,0
girl_act.o,actGirlHand50,0x00173638,0,0
girl_act.o,afterGirlHand50,0x001736E0,0,0
girl_act.o,actGirlHand100,0x00173720,0,0
girl_act.o,afterGirlHand100,0x001737A0,0,0
girl_act.o,actGirlHand200,0x001737E0,0,0
girl_act.o,afterGirlHand200,0x00173860,0,0
girl_act.o,NotNeedBackHand,0x001738A0,0,0
girl_act.o,SetGirlDangerGObj,0x001738F8,0,0
girl_act.o,ClearGirlDangerGObj,0x00173918,0,0
girl_act.o,subGirlBrain_Idle,0x00173938,0,0
girl_act.o,subGirlBrain_Hesitate,0x00173968,0,0
girl_act.o,subGirlBrain_Becarry,0x00173A18,0,0
girl_act.o,subGirlBrain_Busy,0x00173A48,0,0
girl_act.o,subGirlBrain_DangerEnv,0x00173B50,0,0
girl_act.o,ACTCheckCollis_SAFE,0x00173C08,0,0
girl_act.o,afterGirlHand,0x00173D78,0,0
girl_act.o,afterGirlPulledGo,0x00173DB0,0,0
girl_act.o,actGirlJump,0x00173DD0,0,0
girl_act.o,afterGirlSupportBGBegin,0x00173E18,0,0
girl_act.o,isMustCheckCylinder,0x00173E38,0,0
