pal_va,name,object_file,source_file,source_path,source_line
0x00102540,Emergency_DestroyAllThread,main.o,,,
0x00101C80,Main,main.o,main.c,/backup/ico/20020116MasterVer1.00EU/ico2/common/src/main.c,1031
0x001025E0,movie_abort_check,main.o,,,
0x00102620,demoEnd,main.o,,,
0x001023E0,main,main.o,,,
0x001027C0,sampleModeDemoEndTimeOut,sampleMode.o,,,
0x001027F8,sampleModeStageInit,sampleMode.o,,,
0x00102648,sampleModeNoContTimeOutMain,sampleMode.o,,,
0x00102868,sampleModeExec,sampleMode.o,,,
0x00102788,sampleModeDemoEnd,sampleMode.o,,,
0x001028F8,EntryDelayFree,delayFreeManager.o,,,
0x00102988,InitDelayFree,delayFreeManager.o,,,
0x00102A20,ExecDelayFree,delayFreeManager.o,,,
0x001046D8,GetRootPosition,geometryManager.o,,,
0x00102D10,SetRootMatrixWithTransOffset,geometryManager.o,,,
0x00102BF0,GetRootQuaternion,geometryManager.o,,,
0x001040D0,CylinderCollisionWithControlDynamics,geometryManager.o,,,
0x00103CA0,LocalizeDirectionOrient,geometryManager.o,,,
0x00104310,GetRootMatrix,geometryManager.o,,,
0x00104C08,GetCharGObjList,geometryManager.o,,,
0x00104530,SetDirectRootPositionNoFitting,geometryManager.o,,,
0x00103478,GetInitialSkeltonMatrixByDObj,geometryManager.o,,,
0x00102D60,SetRootMatrixRotOffsetByDObj,geometryManager.o,,,
0x00102FB0,SetDirectRootPositionWithNodePoint,geometryManager.o,,,
0x00102C00,SetRootBaseQuaternion,geometryManager.o,,,
0x00103170,GetGlobalDirectionOrient,geometryManager.o,,,
0x001049E8,GetRootMotionMatrix,geometryManager.o,,,
0x001048C0,GetRootMatrixTransOffset,geometryManager.o,,,
0x00103540,MakeCharGObjList,geometryManager.o,,,
0x00104918,GetRootMotionOrient,geometryManager.o,,,
0x00102C10,SetRootQuaternion,geometryManager.o,,,
0x00104868,GetRootMatrixTransOffsetByDObj,geometryManager.o,,,
0x00104390,GetRootPositionByDObj,geometryManager.o,,,
0x001032F0,GetInitialInverseMatrixByDObj,geometryManager.o,,,
0x00104B10,GetProjectionOfPlane,geometryManager.o,,,
0x00103E18,GetCylinderCollisionWithExceptOwnCollision,geometryManager.o,,,
0x00102D18,GetRootMatrixRotOffsetByDObj,geometryManager.o,,,
0x00102B68,UpdateRootMatrixByDObj,geometryManager.o,,,
0x00104290,GetRootMatrixByDObj,geometryManager.o,,,
0x001031E8,GlobalizeGeometry,geometryManager.o,,,
0x00104808,LimitExistGeometry,geometryManager.o,,,
0x00102FD8,LocalizeGeometry,geometryManager.o,,,
0x00104760,GetRootOrient,geometryManager.o,,,
0x00104410,SetDirectRootPosition,geometryManager.o,,,
0x00102BF8,UpdateRootMatrix,geometryManager.o,,,
0x001033B0,GetInitialInverseMatrix,geometryManager.o,,,
0x00102DE0,SetDirectRootPositionNoFittingWithNodePoint,geometryManager.o,,,
0x00102C90,SetRootMatrixWithTransOffsetByDObj,geometryManager.o,,,
0x001032E0,GetRootVelocity,geometryManager.o,,,
0x00103F20,CylinderCollision,geometryManager.o,,,
0x00103688,cylinderCollisionCheck,geometryManager.o,,,
0x00104B90,GetProjectionOfPlaneWithKeepAway,geometryManager.o,,,
0x00104A98,GetProjectionPosOfPlane,geometryManager.o,,,
0x00102D58,GetRootMatrixRotOffset,geometryManager.o,,,
0x00103D18,GetCylinderCollision,geometryManager.o,,,
0x00104648,SetRootPosition,geometryManager.o,,,
0x00102DD8,SetRootMatrixRotOffset,geometryManager.o,,,
0x00102B30,GetRootQuaternionByDObj,geometryManager.o,,,
0x00104D68,InitKeyInput,keyInput.o,,,
0x00104E50,ExecKeyInput,keyInput.o,,,
0x001059F8,MatrixDrive_GetTurnXAngleZY,matrixDrive.o,,,
0x001054D8,MatrixDrive_TransMatrix,matrixDrive.o,,,
0x00105F58,MatrixDrive_GetTurnMinusZAngleXY,matrixDrive.o,,,
0x00105AD8,MatrixDrive_GetTurnXAngleYZ,matrixDrive.o,,,
0x001061B0,FSqrt,matrixDrive.o,,,
0x00105428,MatrixDrive_PushMatrixWithNoCopy,matrixDrive.o,,,
0x00105740,MatrixDrive_TurnXObjectMatrixYZ,matrixDrive.o,,,
0x00105190,MatrixDrive_RotMatrixY,matrixDrive.o,,,
0x00105460,MatrixDrive_GetLastMatrix,matrixDrive.o,,,
0x00105448,MatrixDrive_GetMatrix,matrixDrive.o,,,
0x00105280,MatrixDrive_ScaleMatrix,matrixDrive.o,,,
0x00106160,SubVectorXYZ,matrixDrive.o,,,
0x00105478,MatrixDrive_TransMatrixV,matrixDrive.o,,,
0x00105BB8,MatrixDrive_GetTurnYAngleXZ,matrixDrive.o,,,
0x00105E68,MatrixDrive_GetTurnZAngleYX,matrixDrive.o,,,
0x001061F8,VectorLengthSquare,matrixDrive.o,,,
0x00105910,MatrixDrive_TurnZObjectMatrixXY,matrixDrive.o,,,
0x001050F0,MatrixDrive_PushMatrix,matrixDrive.o,,,
0x001052B0,MatrixDrive_TurnViewMatrix,matrixDrive.o,,,
0x00105560,MatrixDrive_TurnObjectMatrix,matrixDrive.o,,,
0x00106040,MatrixDrive_SetTransposeMatrix,matrixDrive.o,,,
0x00105658,MatrixDrive_TurnXObjectMatrixZY,matrixDrive.o,,,
0x001061D0,VectorLength,matrixDrive.o,,,
0x00106178,UnitRotation,matrixDrive.o,,,
0x00106118,CopyMatrixUncached,matrixDrive.o,,,
0x00105D88,MatrixDrive_GetTurnZAngleXY,matrixDrive.o,,,
0x001060F0,CopyMatrix,matrixDrive.o,,,
0x001060E0,CopyIVector,matrixDrive.o,,,
0x00105208,MatrixDrive_RotMatrixZ,matrixDrive.o,,,
0x00105438,MatrixDrive_PopMatrix,matrixDrive.o,,,
0x00105C98,MatrixDrive_GetTurnYEAngleXZ,matrixDrive.o,,,
0x00106148,AddVectorXYZ,matrixDrive.o,,,
0x00106218,GetPointDistance,matrixDrive.o,,,
0x00105118,MatrixDrive_RotMatrixX,matrixDrive.o,,,
0x00105828,MatrixDrive_TurnYObjectMatrixXZ,matrixDrive.o,,,
0x001060D0,CopyVector,matrixDrive.o,,,
0x001050C0,InitMatrixDrive,matrixDrive.o,,,
0x001080C0,AdjustVerticalSidePlaneOfWall,motionManager2.o,,,
0x0010B3E0,_getMotRotElem,motionManager2.o,,,
0x00108390,GetPureVerticalPlane,motionManager2.o,,,
0x0010A9D8,InitMotionRotElem,motionManager2.o,,,
0x0010A2D8,AdjustMotionHeightToNearestField,motionManager2.o,,,
0x0010A3E8,DisableMotionOrientUpdate,motionManager2.o,,,
0x00108CE8,GetStreamMotion,motionManager2.o,,,
0x00109F48,DebugDisp1CollisionWithColor,motionManager2.o,,,
0x00109E30,GetMotionPointer,motionManager2.o,,,
0x0010A4D0,GetDifferenceFromWallUpperField,motionManager2.o,,,
0x0010AC18,CopyMotion,motionManager2.o,,,
0x0010AC58,GetMotionRootPos,motionManager2.o,,,
0x0010A3D8,EnableMotionOrientUpdate,motionManager2.o,,,
0x0010A3B8,ForMotionViewer_GetCurrentAnimationFrame,motionManager2.o,,,
0x0010A9C8,GetHeightOfCliffFromGObj,motionManager2.o,,,
0x0010B1E8,GetOutOutsideOfWall,motionManager2.o,,,
0x00109E40,GetCollisionOfLastActiveField,motionManager2.o,,,
0x0010A758,GetDifferenceFromWallLowerPlane,motionManager2.o,,,
0x0010A9B8,GetHeightOfWallFromGObj,motionManager2.o,,,
0x0010A670,GetDifferenceFromLowerField,motionManager2.o,,,
0x001079B0,SlopeIKControl,motionManager2.o,,,
0x0010ABB0,ClearMotionGeometryInfo,motionManager2.o,,,
0x0010B348,fitYToPlane,motionManager2.o,,,
0x0010A1A0,InitMotionStateInfo,motionManager2.o,,,
0x0010A918,DisableChangeRootUpdateMode,motionManager2.o,,,
0x0010A928,EnableChangeRootUpdateMode,motionManager2.o,,,
0x0010A418,CheckWallAttribute,motionManager2.o,,,
0x0010B160,GetShapeMotion,motionManager2.o,,,
0x00107930,DispSkelton,motionManager2.o,,,
0x00108548,_getS16MotRotElem,motionManager2.o,,,
0x0010B040,GetFloatingMotionRootPos,motionManager2.o,,,
0x0010B298,AdjustRootPositionToVerticalSidePlaneOfWall,motionManager2.o,,,
0x00106D50,SetMotionDirectionWithLimit,motionManager2.o,,,
0x0010B1E0,UnlockForceGroundParent,motionManager2.o,,,
0x00109BB0,GetFloatingShapeMotion,motionManager2.o,,,
0x0010AC10,SetSkeltonDispSwitch,motionManager2.o,,,
0x0010A968,GetHeightOfFieldPlaneDifference,motionManager2.o,,,
0x00106740,dispPlane,motionManager2.o,,,
0x0010A160,ClearMotionBlendlessNode,motionManager2.o,,,
0x00106C88,SetMotionDirection,motionManager2.o,,,
0x0010A838,GetDifferenceFromWallUpperPlane,motionManager2.o,,,
0x0010A948,GetMotionFrameFlag1,motionManager2.o,,,
0x0010AA28,SetMotionNodeFixModeParameter,motionManager2.o,,,
0x00109038,GetFloatingMotion,motionManager2.o,,,
0x0010ACA0,GetMotion,motionManager2.o,,,
0x00107440,InitMotionGeoInfo,motionManager2.o,,,
0x0010A478,GetStreamShapeMotion,motionManager2.o,,,
0x0010A3F8,CheckFloorAttribute,motionManager2.o,,,
0x0010A5A0,GetDifferenceFromLastField,motionManager2.o,,,
0x00106560,CheckFieldContact,motionManager2.o,,,
