object_file,pal_start,pal_end,size,function_count
main.o,0x00101C80,0x00102648,2504,5
sampleMode.o,0x00102648,0x001028F8,688,5
delayFreeManager.o,0x001028F8,0x00102B2C,564,3
geometryManager.o,0x00102B30,0x00104D64,8756,45
keyInput.o,0x00104D68,0x001050C0,856,2
matrixDrive.o,0x001050C0,0x0010625C,4508,37
motionManager2.o,0x00106260,0x0010B484,21028,76
pool.o,0x0010B488,0x0010DB40,9912,14
quaternion.o,0x0010DB40,0x0010F0B0,5488,45
tableSin.o,0x0010F0B0,0x0010F3AC,764,6
DisplayP2O.o,0x0010F3B0,0x0010F440,144,11
FileManager.o,0x0010F440,0x0010FD3C,2300,2
GifPacket.o,0x0010FD40,0x00112A30,11504,38
GsBase.o,0x00112A30,0x001157BC,11660,18
Light.o,0x001157C0,0x00118140,10624,8
Matrix.o,0x00118140,0x00119308,4552,62
MicroCode.o,0x00119308,0x001197C4,1212,4
Packet.o,0x001197C8,0x0011C7B8,12272,5
Primitive.o,0x0011C7B8,0x0011EE88,9936,12
RegistPacket.o,0x0011EE88,0x00122F48,16576,9
Shadow.o,0x00122F48,0x00128A64,23324,11
StageAnimation.o,0x00128A68,0x0012B164,9980,23
Texture.o,0x0012B168,0x001304E8,21376,22
ZFog.o,0x001304E8,0x00131588,4256,3
cdvd.o,0x00131588,0x00133734,8620,25
inflate.o,0x00133738,0x00135C70,9528,3
ios.o,0x00135C70,0x0013607C,1036,2
mblock.o,0x00136080,0x0013639C,796,4
mcard.o,0x001363A0,0x00138630,8848,18
mcdata.o,0x00138630,0x0013890C,732,2
memory.o,0x00138910,0x0013A11C,6156,12
message.o,0x0013A120,0x0013A768,1608,7
pad.o,0x0013A768,0x0013BA80,4888,20
shockdriver.o,0x0013BA80,0x0013D03C,5564,38
thread.o,0x0013D040,0x0013DC88,3144,23
gobj.o,0x0013DC88,0x0013ECAC,4132,23
gobj_dl.o,0x0013ECB0,0x0013F2E8,1592,10
gobj_process.o,0x0013F2E8,0x0013F898,1456,16
isys.o,0x0013F898,0x0013F8A0,8,1
obj_manager.o,0x0013F8A0,0x00140030,1936,13
s_init.o,0x00140030,0x00143650,13856,40
soundManager.o,0x00143650,0x001437A4,340,92
boyact.o,0x0014B8B8,0x00153618,32096,72
commonact.o,0x00153618,0x0015D8BC,41636,138
enemy_act.o,0x0015D8C0,0x00163F9C,26332,58
fieldCollision.o,0x00163FA0,0x0016814C,16812,47
fuzio.o,0x00168150,0x00168568,1048,8
girl_act.o,0x00168568,0x00173E7C,47380,60
jimaku.o,0x00173E80,0x00174A5C,3036,8
way_sys.o,0x00174A60,0x001765E4,7044,6
way_util.o,0x001765E8,0x00178D5C,10100,39
gflag.o,0x00178D60,0x00178F08,424,6
script.o,0x00178F08,0x0017C3CC,13508,89
st25a.o,0x0017C3D0,0x0017E124,7508,20
warpGirl.o,0x0017E128,0x0017E4A8,896,3
attackhit.o,0x0017E4A8,0x0017F418,3952,5
brain.o,0x0017F418,0x0018008C,3188,107
chain.o,0x0018A2F8,0x0018E27C,16260,28
ebrain.o,0x0018E280,0x0018F3CC,4428,11
fightSound.o,0x0018F4C0,0x0018F7F4,820,6
generator.o,0x0018F7F8,0x00191670,7800,33
gv.o,0x00191670,0x00192058,2536,36
act_bird.o,0x00192BD8,0x00194968,7568,12
gather_effect.o,0x00194968,0x00194DD4,1132,4
itou_boss.o,0x00194DD8,0x001959C0,3048,10
itou_gflag.o,0x001959C0,0x001959D8,24,3
itou_sub.o,0x001959D8,0x00195CF8,800,4
