pal_va,usa_va,name,object_file,status,notes
0x00101C80,,Main,main.o,NO_ANCHOR,Object has no USA anchor
0x001023E0,,main,main.o,NO_ANCHOR,Object has no USA anchor
0x00102540,,Emergency_DestroyAllThread,main.o,NO_ANCHOR,Object has no USA anchor
0x001025E0,,movie_abort_check,main.o,NO_ANCHOR,Object has no USA anchor
0x00102620,,demoEnd,main.o,NO_ANCHOR,Object has no USA anchor
0x00102648,,sampleModeNoContTimeOutMain,sampleMode.o,NO_ANCHOR,Object has no USA anchor
0x00102788,,sampleModeDemoEnd,sampleMode.o,NO_ANCHOR,Object has no USA anchor
0x001027C0,,sampleModeDemoEndTimeOut,sampleMode.o,NO_ANCHOR,Object has no USA anchor
0x001027F8,,sampleModeStageInit,sampleMode.o,NO_ANCHOR,Object has no USA anchor
0x00102868,,sampleModeExec,sampleMode.o,NO_ANCHOR,Object has no USA anchor
0x001028F8,0x001028B0,EntryDelayFree,delayFreeManager.o,MATCH,offset=0x-0000048
0x00102988,0x00102940,InitDelayFree,delayFreeManager.o,MATCH,offset=0x-0000048
0x00102A20,0x001029D8,ExecDelayFree,delayFreeManager.o,OOB,USA address out of bounds
0x00102B30,0x00102AE8,GetRootQuaternionByDObj,geometryManager.o,MATCH,offset=0x-0000048
0x00102B68,0x00102B20,UpdateRootMatrixByDObj,geometryManager.o,MATCH,offset=0x-0000048
0x00102BF0,0x00102BA8,GetRootQuaternion,geometryManager.o,MATCH,offset=0x-0000048
0x00102BF8,0x00102BB0,UpdateRootMatrix,geometryManager.o,MATCH,offset=0x-0000048
0x00102C00,0x00102BB8,SetRootBaseQuaternion,geometryManager.o,MATCH,offset=0x-0000048
0x00102C10,0x00102BC8,SetRootQuaternion,geometryManager.o,MATCH,offset=0x-0000048
0x00102C90,0x00102C48,SetRootMatrixWithTransOffsetByDObj,geometryManager.o,MATCH,offset=0x-0000048
0x00102D10,0x00102CC8,SetRootMatrixWithTransOffset,geometryManager.o,MATCH,offset=0x-0000048
