symbol,pal_va,usa_va,match_method,confidence
_start,0x00100008,0x00100008,op_seq_hash,0.95
RFU000_FullReset,0x00100100,0x00100100,raw_sha1,1.00
ResetEE,0x00100110,0x00100110,raw_sha1,1.00
SetGsCrt,0x00100120,0x00100120,raw_sha1,1.00
RFU003,0x00100130,0x00100130,raw_sha1,1.00
Exit,0x00100140,0x00100140,raw_sha1,1.00
RFU005,0x00100150,0x00100150,raw_sha1,1.00
LoadExecPS2,0x00100160,0x00100160,raw_sha1,1.00
ExecPS2,0x00100170,0x00100170,raw_sha1,1.00
RFU008,0x00100180,0x00100180,raw_sha1,1.00
RFU009,0x00100190,0x00100190,raw_sha1,1.00
AddSbusIntcHandler,0x001001A0,0x001001A0,raw_sha1,1.00
RemoveSbusIntcHandler,0x001001B0,0x001001B0,raw_sha1,1.00
Interrupt2Iop,0x001001C0,0x001001C0,raw_sha1,1.00
SetVTLBRefillHandler,0x001001D0,0x001001D0,raw_sha1,1.00
SetVCommonHandler,0x001001E0,0x001001E0,raw_sha1,1.00
SetVInterruptHandler,0x001001F0,0x001001F0,raw_sha1,1.00
AddIntcHandler,0x00100200,0x00100200,raw_sha1,1.00
AddIntcHandler2,0x00100210,0x00100200,raw_sha1,1.00
RemoveIntcHandler,0x00100220,0x00100220,raw_sha1,1.00
AddDmacHandler,0x00100230,0x00100230,raw_sha1,1.00
AddDmacHandler2,0x00100240,0x00100230,raw_sha1,1.00
RemoveDmacHandler,0x00100250,0x00100250,raw_sha1,1.00
_EnableIntc,0x00100260,0x00100260,raw_sha1,1.00
_DisableIntc,0x00100270,0x00100270,raw_sha1,1.00
_EnableDmac,0x00100280,0x00100280,raw_sha1,1.00
_DisableDmac,0x00100290,0x00100290,raw_sha1,1.00
SetAlarm,0x001002A0,0x001002A0,raw_sha1,1.00
ReleaseAlarm,0x001002B0,0x001002B0,raw_sha1,1.00
_iEnableIntc,0x001002C0,0x001002C0,raw_sha1,1.00
_iDisableIntc,0x001002D0,0x001002D0,raw_sha1,1.00
_iEnableDmac,0x001002E0,0x001002E0,raw_sha1,1.00
_iDisableDmac,0x001002F0,0x001002F0,raw_sha1,1.00
iSetAlarm,0x00100300,0x00100300,raw_sha1,1.00
iReleaseAlarm,0x00100310,0x00100310,raw_sha1,1.00
CreateThread,0x00100320,0x00100320,raw_sha1,1.00
DeleteThread,0x00100330,0x00100330,raw_sha1,1.00
StartThread,0x00100340,0x00100340,raw_sha1,1.00
ExitThread,0x00100350,0x00100350,raw_sha1,1.00
ExitDeleteThread,0x00100360,0x00100360,raw_sha1,1.00
TerminateThread,0x00100370,0x00100370,raw_sha1,1.00
iTerminateThread,0x00100380,0x00100380,raw_sha1,1.00
DisableDispatchThread,0x00100390,0x00100390,raw_sha1,1.00
EnableDispatchThread,0x001003A0,0x001003A0,raw_sha1,1.00
ChangeThreadPriority,0x001003B0,0x001003B0,raw_sha1,1.00
iChangeThreadPriority,0x001003C0,0x001003C0,raw_sha1,1.00
RotateThreadReadyQueue,0x001003D0,0x001003D0,raw_sha1,1.00
_iRotateThreadReadyQueue,0x001003E0,0x001003E0,raw_sha1,1.00
ReleaseWaitThread,0x001003F0,0x001003F0,raw_sha1,1.00
iReleaseWaitThread,0x00100400,0x00100400,raw_sha1,1.00
GetThreadId,0x00100410,0x00100410,raw_sha1,1.00
ReferThreadStatus,0x00100420,0x00100420,raw_sha1,1.00
iReferThreadStatus,0x00100430,0x00100430,raw_sha1,1.00
SleepThread,0x00100440,0x00100440,raw_sha1,1.00
WakeupThread,0x00100450,0x00100450,raw_sha1,1.00
_iWakeupThread,0x00100460,0x00100460,raw_sha1,1.00
CancelWakeupThread,0x00100470,0x00100470,raw_sha1,1.00
iCancelWakeupThread,0x00100480,0x00100480,raw_sha1,1.00
SuspendThread,0x00100490,0x00100490,raw_sha1,1.00
_iSuspendThread,0x001004A0,0x001004A0,raw_sha1,1.00
ResumeThread,0x001004B0,0x001004B0,raw_sha1,1.00
iResumeThread,0x001004C0,0x001004C0,raw_sha1,1.00
JoinThread,0x001004D0,0x001004D0,raw_sha1,1.00
RFU060,0x001004E0,0x001004E0,raw_sha1,1.00
RFU061,0x001004F0,0x001004F0,raw_sha1,1.00
EndOfHeap,0x00100500,0x00100500,raw_sha1,1.00
RFU063,0x00100510,0x00100510,raw_sha1,1.00
CreateSema,0x00100520,0x00100520,raw_sha1,1.00
DeleteSema,0x00100530,0x00100530,raw_sha1,1.00
SignalSema,0x00100540,0x00100540,raw_sha1,1.00
iSignalSema,0x00100550,0x00100550,raw_sha1,1.00
WaitSema,0x00100560,0x00100560,raw_sha1,1.00
PollSema,0x00100570,0x00100570,raw_sha1,1.00
iPollSema,0x00100580,0x00100580,raw_sha1,1.00
ReferSemaStatus,0x00100590,0x00100590,raw_sha1,1.00
iReferSemaStatus,0x001005A0,0x001005A0,raw_sha1,1.00
RFU073,0x001005B0,0x001005B0,raw_sha1,1.00
SetOsdConfigParam,0x001005C0,0x001005C0,raw_sha1,1.00
GetOsdConfigParam,0x001005D0,0x001005D0,raw_sha1,1.00
GetGsHParam,0x001005E0,0x001005E0,raw_sha1,1.00
GetGsVParam,0x001005F0,0x001005F0,raw_sha1,1.00
SetGsHParam,0x00100600,0x00100600,raw_sha1,1.00
SetGsVParam,0x00100610,0x00100610,raw_sha1,1.00
RFU080_CreateEventFlag,0x00100620,0x00100620,raw_sha1,1.00
RFU081_DeleteEventFlag,0x00100630,0x00100630,raw_sha1,1.00
RFU082_SetEventFlag,0x00100640,0x00100640,raw_sha1,1.00
RFU083_iSetEventFlag,0x00100650,0x00100650,raw_sha1,1.00
RFU084_ClearEventFlag,0x00100660,0x00100660,raw_sha1,1.00
RFU085_iClearEventFlag,0x00100670,0x00100670,raw_sha1,1.00
RFU086_WaitEvnetFlag,0x00100680,0x00100680,raw_sha1,1.00
RFU087_PollEvnetFlag,0x00100690,0x00100690,raw_sha1,1.00
RFU088_iPollEvnetFlag,0x001006A0,0x001006A0,raw_sha1,1.00
RFU089_ReferEventFlagStatus,0x001006B0,0x001006B0,raw_sha1,1.00
RFU090_iReferEventFlagStatus,0x001006C0,0x001006C0,raw_sha1,1.00
RFU091,0x001006D0,0x001006D0,raw_sha1,1.00
EnableIntcHandler,0x001006E0,0x001006E0,raw_sha1,1.00
iEnableIntcHandler,0x001006F0,0x001006F0,raw_sha1,1.00
DisableIntcHandler,0x00100700,0x00100700,raw_sha1,1.00
iDisableIntcHandler,0x00100710,0x00100710,raw_sha1,1.00
EnableDmacHandler,0x00100720,0x00100720,raw_sha1,1.00
iEnableDmacHandler,0x00100730,0x00100730,raw_sha1,1.00
DisableDmacHandler,0x00100740,0x00100740,raw_sha1,1.00
iDisableDmacHandler,0x00100750,0x00100750,raw_sha1,1.00
KSeg0,0x00100760,0x00100760,raw_sha1,1.00
EnableCache,0x00100770,0x00100770,raw_sha1,1.00
DisableCache,0x00100780,0x00100780,raw_sha1,1.00
GetCop0,0x00100790,0x00100790,raw_sha1,1.00
FlushCache,0x001007A0,0x001007A0,raw_sha1,1.00
CpuConfig,0x001007B0,0x001007B0,raw_sha1,1.00
iGetCop0,0x001007C0,0x001007C0,raw_sha1,1.00
iFlushCache,0x001007D0,0x001007D0,raw_sha1,1.00
iCpuConfig,0x001007E0,0x001007E0,raw_sha1,1.00
sceSifStopDma,0x001007F0,0x001007F0,raw_sha1,1.00
SetCPUTimerHandler,0x00100800,0x00100800,raw_sha1,1.00
SetCPUTimer,0x00100810,0x00100810,raw_sha1,1.00
SetOsdConfigParam2,0x00100820,0x00100820,raw_sha1,1.00
GetOsdConfigParam2,0x00100830,0x00100830,raw_sha1,1.00
GsGetIMR,0x00100840,0x00100840,raw_sha1,1.00
iGsGetIMR,0x00100850,0x00100850,raw_sha1,1.00
GsPutIMR,0x00100860,0x00100860,raw_sha1,1.00
iGsPutIMR,0x00100870,0x00100870,raw_sha1,1.00
SetPgifHandler,0x00100880,0x00100880,raw_sha1,1.00
SetVSyncFlag,0x00100890,0x00100890,raw_sha1,1.00
RFU116,0x001008A0,0x001008A0,raw_sha1,1.00
_print,0x001008B0,0x001008B0,raw_sha1,1.00
sceSifDmaStat,0x001008C0,0x001008C0,raw_sha1,1.00
isceSifDmaStat,0x001008D0,0x001008D0,raw_sha1,1.00
sceSifSetDma,0x001008E0,0x001008E0,raw_sha1,1.00
isceSifSetDma,0x001008F0,0x001008F0,raw_sha1,1.00
sceSifSetDChain,0x00100900,0x00100900,raw_sha1,1.00
isceSifSetDChain,0x00100910,0x00100910,raw_sha1,1.00
sceSifSetReg,0x00100920,0x00100920,raw_sha1,1.00
sceSifGetReg,0x00100930,0x00100930,raw_sha1,1.00
ExecOSD,0x00100940,0x00100940,raw_sha1,1.00
Deci2Call,0x00100950,0x00100950,raw_sha1,1.00
PSMode,0x00100960,0x00100960,raw_sha1,1.00
MachineType,0x00100970,0x00100970,raw_sha1,1.00
GetMemorySize,0x00100980,0x00100980,raw_sha1,1.00
_InitSys,0x001009E0,0x001009E0,raw_sha1,1.00
DisableIntc,0x00100A08,0x00100A08,raw_sha1,1.00
EnableIntc,0x00100A70,0x00100A70,raw_sha1,1.00
DisableDmac,0x00100AD8,0x00100AD8,raw_sha1,1.00
EnableDmac,0x00100B40,0x00100B40,raw_sha1,1.00
iEnableIntc,0x00100BA8,0x00100BA8,raw_sha1,1.00
iDisableIntc,0x00100BC8,0x00100BC8,raw_sha1,1.00
iEnableDmac,0x00100BE8,0x00100BE8,raw_sha1,1.00
iDisableDmac,0x00100C08,0x00100C08,raw_sha1,1.00
InitAlarm,0x00100C90,0x00100C90,op_seq_hash,0.95
InitThread,0x00100E40,0x00100E40,op_seq_hash,0.95
iWakeupThread,0x00100F18,0x00100F18,op_seq_hash,0.95
iRotateThreadReadyQueue,0x00100FB0,0x00100FB0,op_seq_hash,0.95
iSuspendThread,0x00101030,0x00101030,op_seq_hash,0.95
_printf,0x001013E0,0x001013E0,op_seq_hash,0.95
kprintf,0x001019A8,0x001019A8,raw_sha1,1.00
scePrintf,0x001019E0,0x001019E0,op_seq_hash,0.95
sceDeci2Close,0x00101AE8,0x00101AE8,raw_sha1,1.00
sceDeci2Poll,0x00101B40,0x00101B40,raw_sha1,1.00
sceDeci2ExRecv,0x00101B68,0x00101B68,raw_sha1,1.00
sceDeci2ExSend,0x00101BA0,0x00101BA0,raw_sha1,1.00
sceDeci2ExLock,0x00101C08,0x00101C08,raw_sha1,1.00
sceDeci2ExUnLock,0x00101C30,0x00101C30,raw_sha1,1.00
kputs,0x00101C58,0x00101C58,raw_sha1,1.00
Emergency_DestroyAllThread,0x00102540,0x00100108,raw_sha1,1.00
GetInitialInverseMatrixByDObj,0x001032F0,0x001032A8,op_seq_hash,0.95
GetRootPosition,0x001046D8,0x00100108,raw_sha1,1.00
MatrixDrive_GetMatrix,0x00105448,0x00105400,op_seq_hash,0.95
MatrixDrive_SetTransposeMatrix,0x00106040,0x00100108,raw_sha1,1.00
GetOrientOfCliffOfGObj,0x00106C78,0x00106E38,op_seq_hash,0.95
GetFloatingShapeMotion,0x00109BB0,0x00109BB8,op_seq_hash,0.95
SetMotionBlendlessNode,0x0010A040,0x0010A048,op_seq_hash,0.95
DisableMotionOrientUpdate,0x0010A3E8,0x0010A3F0,op_seq_hash,0.95
SetQuaternionByAxisRotateV,0x0010E458,0x001019A0,raw_sha1,1.00
MultiMatrixByQuaternion,0x0010E6D0,0x0010E708,op_seq_hash,0.95
RotQuaternionEAX,0x0010E9F8,0x0010EA30,raw_sha1,1.00
gsb_InitGSSystem,0x001145D0,0x00114080,op_seq_hash,0.95
light_InitLight,0x00117F48,0x001049B4,raw_sha1,1.00
_ApplyCurrentMatrix,0x001188B0,0x001171E8,op_seq_hash,0.95
_UnitRotation,0x00118E90,0x001177C8,op_seq_hash,0.95
mc_TransMicroCode,0x00119678,0x00117CF0,op_seq_hash,0.95
stage_KillPlayBgAnimationIfOverMaxCount,0x0012B080,0x00129970,op_seq_hash,0.95
tex_TransTexture,0x0012D608,0x0012BBE8,op_seq_hash,0.95
iosCdvdHandlerReadInflate,0x001322E8,0x00130448,raw_sha1,1.00
iosMcUnformat,0x001380B0,0x00135EB8,op_seq_hash,0.95
iosMcGetBlockSaveInfo,0x00138338,0x00136140,op_seq_hash,0.95
iosMsgSetEvent,0x0013A398,0x00137F48,op_seq_hash,0.95
iosPadEnableGet,0x0013B770,0x001394E8,raw_sha1,1.00
iosPadActInit,0x0013B778,0x001394F0,op_seq_hash,0.95
ShockRequestBox_EndRequestFree,0x0013C720,0x0013A498,op_seq_hash,0.95
Init_ShockDriver,0x0013C948,0x0013A6C0,op_seq_hash,0.95
ShockDriver_VoiceSet_Remove,0x0013CA50,0x0013A7C8,op_seq_hash,0.95
isysGObjLinkObjDL,0x0013F030,0x00105288,raw_sha1,1.00
iosOmGetGObjStatus,0x0013FDB0,0x0013D9C8,raw_sha1,1.00
iosOmExeMail,0x0013FF48,0x0013DB60,op_seq_hash,0.95
soundBufSegFree,0x00140730,0x00100A68,raw_sha1,1.00
soundDataOpenSync,0x00140BE0,0x0013E7F8,op_seq_hash,0.95
soundSeEnvNotUseClose,0x00142388,0x001147C4,raw_sha1,1.00
sndInit,0x001436B0,0x001412C8,op_seq_hash,0.95
ACTGame_SetMotionPlaySpeedRatio_Clear,0x0014A6E8,0x00147F68,raw_sha1,1.00
ACTGame_SetMotionPlaySpeedRatio_Exec,0x0014A708,0x00147F88,raw_sha1,1.00
CorrectStickInfo,0x00152088,0x0014F0EC,op_seq_hash,0.95
afterBoyHand50,0x00152838,0x0014F890,op_seq_hash,0.95
funcCommonJumpDircorrect,0x001578F8,0x001009D8,raw_sha1,1.00
actCommonTurnStrict,0x0015C8C0,0x001586C8,op_seq_hash,0.95
motCommonRopejumpDircorrect,0x0015CC98,0x00158960,op_seq_hash,0.95
afterCommonBox,0x0015D768,0x00159400,op_seq_hash,0.95
actEnemyBodyslam,0x00162F98,0x0015E7F8,op_seq_hash,0.95
actEnemyFlagOnDead,0x001631F0,0x0015D5F0,op_seq_hash,0.95
EnemyBrainStatus_Boy,0x00163220,0x0015D5F0,op_seq_hash,0.95
actEnemyFlagCheckDead,0x00163250,0x0015EAB0,op_seq_hash,0.95
isEnemyHyde,0x00163F00,0x00100BC0,raw_sha1,1.00
MakeExitAttributeIndex,0x00165FD0,0x001613B0,op_seq_hash,0.95
ClipWallBoxStop,0x00166400,0x001617E0,raw_sha1,1.00
ClipWallAdjustPos,0x00166420,0x00161800,raw_sha1,1.00
ChangeFieldCollisionDebugMode,0x001665C8,0x001619A8,op_seq_hash,0.95
scpTriggerBallTargetMan,0x00179200,0x001024B0,raw_sha1,1.00
scpTriggerWallAttr,0x0017AFC8,0x00174D78,op_seq_hash,0.95
debug_CameraEditor,0x00184730,0x0017D7F0,op_seq_hash,0.95
CameraEdit_reset_pin,0x001848E0,0x0017DA98,op_seq_hash,0.95
CameraGetOtherObjOffset,0x00189F40,0x0010A78C,raw_sha1,1.00
GetChainLength,0x0018DDA8,0x00186650,op_seq_hash,0.95
IsEnableCallEnemy,0x001910E8,0x00189600,op_seq_hash,0.95
