object_file,validated,total,ratio,offset,seeds,confidence
DObj.o,0,4,0.0,,0,NONE
DisplayFont.o,0,5,0.0,,0,NONE
DisplayP2O.o,0,11,0.0,,0,NONE
DmaPacket.o,0,3,0.0,,0,NONE
EnemyInit.o,0,2,0.0,,0,NONE
FileManager.o,0,2,0.0,,0,NONE
GifPacket.o,0,38,0.0,,0,NONE
GobjProc.o,0,8,0.0,,0,NONE
Packet.o,0,5,0.0,,0,NONE
Primitive.o,0,12,0.0,,0,NONE
RegistPacket.o,0,9,0.0,,0,NONE
Shadow.o,0,11,0.0,,0,NONE
ZFog.o,0,3,0.0,,0,NONE
access.o,0,2,0.0,,0,NONE
act.o,0,18,0.0,,0,NONE
act2.o,0,2,0.0,,0,NONE
act_a_p_1.o,0,12,0.0,,0,NONE
act_bird.o,0,12,0.0,,0,NONE
actressLight.o,0,1,0.0,,0,NONE
attackhit.o,0,5,0.0,,0,NONE
backStage.o,0,8,0.0,,0,NONE
box.o,0,44,0.0,,0,NONE
cageFix.o,0,3,0.0,,0,NONE
candle.o,0,5,0.0,,0,NONE
chandelier.o,0,3,0.0,,0,NONE
clipCollisionManager.o,0,2,0.0,,0,NONE
clothTest.o,0,3,0.0,,0,NONE
darkVolume.o,0,11,0.0,,0,NONE
debug_exception.o,0,17,0.0,,0,NONE
debug_menu.o,0,2,0.0,,0,NONE
deja.o,0,6,0.0,,0,NONE
delayFreeManager.o,0,3,0.0,,0,NONE
ebrain.o,0,11,0.0,,0,NONE
effectTool.o,0,1,0.0,,0,NONE
end.o,0,52,0.0,,0,NONE
enemyParts.o,0,11,0.0,,0,NONE
fightSound.o,0,6,0.0,,0,NONE
flag.o,0,3,0.0,,0,NONE
flyManager.o,0,5,0.0,,0,NONE
frameDependSequence.o,0,7,0.0,,0,NONE
fuzio.o,0,8,0.0,,0,NONE
gamesys.o,0,19,0.0,,0,NONE
gather_effect.o,0,4,0.0,,0,NONE
gflag.o,0,6,0.0,,0,NONE
girl_act.o,0,60,0.0,,0,NONE
gobj.o,0,23,0.0,,0,NONE
gobj_cam_dl.o,0,10,0.0,,0,NONE
gobj_process.o,0,16,0.0,,0,NONE
handManager.o,0,1,0.0,,0,NONE
haveParentSimpleObj.o,0,3,0.0,,0,NONE
icoMisc.o,0,4,0.0,,0,NONE
inflate.o,0,3,0.0,,0,NONE
ios.o,0,2,0.0,,0,NONE
isys.o,0,1,0.0,,0,NONE
itou_gflag.o,0,3,0.0,,0,NONE
itou_sub.o,0,4,0.0,,0,NONE
jimaku.o,0,8,0.0,,0,NONE
kanban.o,0,7,0.0,,0,NONE
kanbanBoot.o,0,3,0.0,,0,NONE
keyInput.o,0,2,0.0,,0,NONE
lightning.o,0,5,0.0,,0,NONE
lineManager.o,0,7,0.0,,0,NONE
lodManager.o,0,1,0.0,,0,NONE
lws_kyomi.o,0,3,0.0,,0,NONE
mblock.o,0,4,0.0,,0,NONE
mcdata.o,0,2,0.0,,0,NONE
memory.o,0,12,0.0,,0,NONE
motionFileManager.o,0,7,0.0,,0,NONE
motionViewer.o,0,2,0.0,,0,NONE
moveColTest.o,0,3,0.0,,0,NONE
mv_main.o,0,4,0.0,,0,NONE
mv_readbuf.o,0,6,0.0,,0,NONE
mv_strfile.o,0,3,0.0,,0,NONE
mv_sub.o,0,2,0.0,,0,NONE
mv_videodec.o,0,9,0.0,,0,NONE
mv_vobuf.o,0,8,0.0,,0,NONE
op.o,0,15,0.0,,0,NONE
particleEffect.o,0,19,0.0,,0,NONE
particleLayout.o,0,4,0.0,,0,NONE
pool.o,0,14,0.0,,0,NONE
queen.o,0,23,0.0,,0,NONE
queen_barrier_disp.o,0,4,0.0,,0,NONE
rope.o,0,7,0.0,,0,NONE
ropeFix.o,0,3,0.0,,0,NONE
rotObject.o,0,13,0.0,,0,NONE
sampleMode.o,0,5,0.0,,0,NONE
seMail.o,0,2,0.0,,0,NONE
spiderGroupManager.o,0,7,0.0,,0,NONE
st00a.o,0,22,0.0,,0,NONE
st03t.o,0,21,0.0,,0,NONE
st04a.o,0,30,0.0,,0,NONE
st05b.o,0,9,0.0,,0,NONE
st05c.o,0,14,0.0,,0,NONE
st05e.o,0,7,0.0,,0,NONE
st08a.o,0,16,0.0,,0,NONE
st08b.o,0,16,0.0,,0,NONE
st09a.o,0,14,0.0,,0,NONE
st10r.o,0,28,0.0,,0,NONE
st13b2.o,0,1,0.0,,0,NONE
st13c.o,0,42,0.0,,0,NONE
st13d.o,0,4,0.0,,0,NONE
st17a.o,0,17,0.0,,0,NONE
st17b.o,0,5,0.0,,0,NONE
st22a.o,0,4,0.0,,0,NONE
st24a.o,0,3,0.0,,0,NONE
st25a.o,0,20,0.0,,0,NONE
staffroll.o,0,3,0.0,,0,NONE
stageMultiBgaManager.o,0,4,0.0,,0,NONE
staticBlur.o,0,17,0.0,,0,NONE
stormTest.o,0,8,0.0,,0,NONE
sugiTree.o,0,5,0.0,,0,NONE
tableSin.o,0,6,0.0,,0,NONE
thread.o,0,23,0.0,,0,NONE
torch.o,0,12,0.0,,0,NONE
warpGirl.o,0,3,0.0,,0,NONE
waySystemManager.o,0,2,0.0,,0,NONE
way_kidnap.o,0,9,0.0,,0,NONE
way_sys.o,0,6,0.0,,0,NONE
way_tool.o,0,3,0.0,,0,NONE
way_util.o,0,39,0.0,,0,NONE
windField.o,0,10,0.0,,0,NONE
windManager.o,0,5,0.0,,0,NONE
worm.o,0,8,0.0,,0,NONE
