rank,object_file,function_count,size,source_files,source_rows,nearest_known_distance,nearest_known_objects,priority_score,recoverability_score,impact_score,notes
1,girl_act.o,60,47380,,0,2,fieldCollision.o,148,8,140,"near=2, large"
2,end.o,52,12624,,0,1,e3.o,119,9,110,"near=1, large"
3,box.o,44,20488,,0,1,attackCheckBoundary.o;boy.o,115,17,98,"near=1, large"
4,st13c.o,42,11508,,0,2,st13b.o,97,8,89,"near=2, large"
5,way_util.o,39,10100,,0,2,script.o,91,8,83,"near=2, large"
6,GifPacket.o,38,11504,,0,1,GsBase.o,90,9,81,"near=1, large"
7,st04a.o,30,16588,,0,1,st04b.o,77,9,68,"near=1, large"
8,st10r.o,28,5352,,0,1,st10l.o;st13a.o,75,17,58,"near=1, large"
9,queen.o,23,8880,,0,2,stage_orient.o,58,8,50,"near=2, large"
10,gobj.o,23,4132,,0,1,gobj_dl.o,57,9,48,"near=1, large"
11,thread.o,23,3144,,0,1,shockdriver.o,56,9,47,"near=1, large"
12,st00a.o,22,4716,,0,1,st01b.o,55,9,46,"near=1, large"
13,st03t.o,21,4384,,0,1,st02a.o,53,9,44,"near=1, large"
14,st25a.o,20,7508,,0,1,script.o,52,9,43,"near=1, large"
15,particleEffect.o,19,8480,,0,1,multiBgaManager.o,51,9,42,near=1
16,op.o,15,8528,,0,2,e3.o;st01b.o,50,16,34,near=2
17,pool.o,14,9912,,0,1,motionManager2.o;quaternion.o,49,17,32,near=1
18,st08b.o,16,3728,,0,2,st07a.o;st10l.o,49,16,33,near=2
19,act.o,18,8080,,0,1,adpcm_init.o,49,9,40,near=1
20,staticBlur.o,17,14568,,0,2,streamMotionManager.o,49,8,41,near=2
21,debug_exception.o,17,9932,,0,1,debug.o,47,9,38,near=1
22,gamesys.o,19,3648,,0,3,debug.o,46,7,39,near=3
23,darkVolume.o,11,11084,,0,2,clothAnimation.o;enemy.o,43,16,27,near=2
24,st17a.o,17,3756,,0,2,st18a.o,43,8,35,near=2
25,st08a.o,16,2296,,0,1,st07a.o,42,9,33,near=1
26,Shadow.o,11,23324,,0,1,StageAnimation.o,42,9,33,near=1
27,torch.o,12,2328,,0,2,streamMotionManager.o;weapon.o,41,16,25,near=2
28,gobj_process.o,16,1456,,0,1,gobj_dl.o,41,9,32,near=1
29,st05c.o,14,2432,,0,1,st05d.o,38,9,29,near=1
30,st09a.o,14,1912,,0,1,st10l.o,37,9,28,near=1
31,act_bird.o,12,7568,,0,1,gv.o,36,9,27,near=1
32,memory.o,12,6156,,0,1,message.o,36,9,27,near=1
33,Primitive.o,12,9936,,0,2,MicroCode.o,36,8,28,near=2
34,worm.o,8,5404,,0,1,Basic.o;wireLetter.o,35,17,18,near=1
35,rotObject.o,13,1880,,0,1,spider.o,35,9,26,near=1
36,backStage.o,8,3912,,0,1,StageManager.o;charFileManager.o,34,17,17,near=1
37,act_a_p_1.o,12,3856,,0,1,a_p_1.o,34,9,25,near=1
38,RegistPacket.o,9,16576,,0,2,StageAnimation.o,34,8,26,near=2
39,GobjProc.o,8,1124,,0,1,PObj.o;mv_vibuf.o,33,17,16,near=1
40,ebrain.o,11,4428,,0,1,chain.o,33,9,24,near=1
41,enemyParts.o,11,3528,,0,1,enemy.o,32,9,23,near=1
42,st05e.o,7,1096,,0,1,st05d.o;st06a.o,31,17,14,near=1
43,rope.o,7,2384,,0,3,multiBgaManager.o;spider.o,30,15,15,near=3
44,windField.o,10,2824,,0,1,weapon.o,30,9,21,near=1
45,DisplayP2O.o,11,144,,0,2,quaternion.o,30,8,22,near=2
46,gobj_cam_dl.o,10,1364,,0,1,adpcm_init.o,29,9,20,near=1
47,DisplayFont.o,5,2580,,0,1,BgAnimation.o;DisplayList.o,28,17,11,near=1
48,way_kidnap.o,9,3868,,0,1,way_llf.o,28,9,19,near=1
49,lightning.o,5,4688,,0,3,itou_boss.o;stage_orient.o,27,15,12,near=3
50,st05b.o,9,1664,,0,1,st04r.o,27,9,18,near=1
51,stormTest.o,8,2980,,0,1,streamMotionManager.o,26,9,17,near=1
52,ZFog.o,3,4256,,0,1,Texture.o;cdvd.o,25,17,8,near=1
53,fuzio.o,8,1048,,0,1,fieldCollision.o,25,9,16,near=1
54,frameDependSequence.o,7,4272,,0,1,girl.o,25,9,16,near=1
55,Packet.o,5,12272,,0,1,MicroCode.o,25,9,16,near=1
56,mv_videodec.o,9,1896,,0,3,StageManager.o,25,7,18,near=3
57,lineManager.o,7,2324,,0,1,item.o,24,9,15,near=1
58,mv_vobuf.o,8,760,,0,2,StageManager.o,24,8,16,near=2
59,jimaku.o,8,3036,,0,3,fieldCollision.o,24,7,17,near=3
60,staffroll.o,3,1384,,0,1,a_p_1.o;sceneManager.o,23,17,6,near=1
61,st13d.o,4,648,,0,3,st13b.o;st18a.o,23,15,8,near=3
62,spiderGroupManager.o,7,1680,,0,1,spider.o,23,9,14,near=1
63,motionFileManager.o,7,696,,0,1,motionManager.o,23,9,14,near=1
64,kanban.o,7,2880,,0,2,layout_action.o,23,8,15,near=2
65,warpGirl.o,3,896,,0,2,brain.o;script.o,22,16,6,near=2
66,deja.o,6,2248,,0,1,e3.o,22,9,13,near=1
67,way_sys.o,6,7044,,0,3,script.o,22,7,15,near=3
68,keyInput.o,2,856,,0,1,geometryManager.o;matrixDrive.o,21,17,4,near=1
69,mv_sub.o,2,328,,0,1,mv_disp.o;mv_vibuf.o,21,17,4,near=1
70,fightSound.o,6,820,,0,1,generator.o,21,9,12,near=1
71,tableSin.o,6,764,,0,1,quaternion.o,21,9,12,near=1
72,gflag.o,6,424,,0,1,script.o,21,9,12,near=1
73,handManager.o,1,2100,,0,1,girlForceField.o;item.o,20,17,3,near=1
74,ios.o,2,1036,,0,2,cdvd.o;mcard.o,20,16,4,near=2
75,EnemyInit.o,2,896,,0,2,DisplayList.o;adpcm_init.o,20,16,4,near=2
76,haveParentSimpleObj.o,3,24,,0,4,debug.o;layout_action.o,20,14,6,near=4
77,attackhit.o,5,3952,,0,1,brain.o,20,9,11,near=1
78,mv_readbuf.o,6,420,,0,2,stage_orient.o,20,8,12,near=2
79,sugiTree.o,5,1284,,0,1,streamMotionManager.o,19,9,10,near=1
80,windManager.o,5,912,,0,1,wireLetter.o,19,9,10,near=1
81,sampleMode.o,5,688,,0,1,main.o,19,9,10,near=1
82,st17b.o,5,544,,0,1,st18a.o,19,9,10,near=1
83,inflate.o,3,9528,,0,1,cdvd.o,19,9,10,near=1
84,lodManager.o,1,140,,0,2,item.o;motionManager.o,18,16,2,near=2
85,DObj.o,4,3856,,0,1,StageManager.o,18,9,9,near=1
86,queen_barrier_disp.o,4,2720,,0,1,stage_orient.o,18,9,9,near=1
87,mv_main.o,4,2480,,0,1,stage_orient.o,18,9,9,near=1
88,candle.o,5,996,,0,2,cage.o,18,8,10,near=2
89,flyManager.o,5,436,,0,2,girl.o,18,8,10,near=2
90,st22a.o,4,1488,,0,1,st20a.o,17,9,8,near=1
91,gather_effect.o,4,1132,,0,1,itou_boss.o,17,9,8,near=1
92,mblock.o,4,796,,0,1,mcard.o,17,9,8,near=1
93,way_tool.o,3,5748,,0,1,way_llf.o,17,9,8,near=1
94,icoMisc.o,4,4416,,0,3,layout_action.o,17,7,10,near=3
95,motionViewer.o,2,7704,,0,1,motionOrientManager.o,16,9,7,near=1
96,itou_sub.o,4,800,,0,2,itou_boss.o,16,8,8,near=2
97,stageMultiBgaManager.o,4,692,,0,2,spider.o,16,8,8,near=2
98,particleLayout.o,4,144,,0,2,multiBgaManager.o,16,8,8,near=2
99,kanbanBoot.o,3,892,,0,1,layout_action.o,15,9,6,near=1
100,st24a.o,3,648,,0,1,st47a.o,15,9,6,near=1
101,moveColTest.o,3,588,,0,1,multiBgaManager.o,15,9,6,near=1
102,delayFreeManager.o,3,564,,0,1,geometryManager.o,15,9,6,near=1
103,lws_kyomi.o,3,316,,0,1,objact.o,15,9,6,near=1
104,DmaPacket.o,3,256,,0,1,DisplayList.o,15,9,6,near=1
105,cageFix.o,3,208,,0,1,cage.o,15,9,6,near=1
106,clothTest.o,3,96,,0,1,clothAnimation.o,15,9,6,near=1
107,itou_gflag.o,3,24,,0,1,itou_boss.o,15,9,6,near=1
108,flag.o,3,2116,,0,2,enemy.o,15,8,7,near=2
109,chandelier.o,3,232,,0,2,clothAnimation.o,14,8,6,near=2
110,ropeFix.o,3,144,,0,2,spider.o,14,8,6,near=2
111,mcdata.o,2,732,,0,1,mcard.o,13,9,4,near=1
112,clipCollisionManager.o,2,696,,0,1,clothAnimation.o,13,9,4,near=1
113,access.o,2,244,,0,1,stageSEProc.o,13,9,4,near=1
114,waySystemManager.o,2,232,,0,1,weapon.o,13,9,4,near=1
115,effectTool.o,1,5944,,0,1,enemy.o,13,9,4,near=1
116,FileManager.o,2,2300,,0,2,GsBase.o,13,8,5,near=2
117,mv_strfile.o,3,116,,0,3,stage_orient.o,13,7,6,near=3
118,seMail.o,2,584,,0,2,way_llf.o,12,8,4,near=2
119,debug_menu.o,2,436,,0,2,debug.o,12,8,4,near=2
120,act2.o,2,392,,0,2,adpcm_init.o,12,8,4,near=2
121,actressLight.o,1,196,,0,1,attackCheckBoundary.o,11,9,2,near=1
122,st13b2.o,1,48,,0,1,st13b.o,11,9,2,near=1
123,isys.o,1,8,,0,1,obj_manager.o,11,9,2,near=1
