dl_slot,total_ios_om_main,unique_ws,unique_entities
0x0000001a,467059,4,20
0x0000001d,258767,2,10
0x0000001e,152027,2,8
0x00000020,52315,1,6
0x00000034,45819,1,8
0x00000021,44357,4,21
0x00000036,35807,1,8
0x0000001f,35679,2,6
0x0000001c,31849,2,12
0x00000023,30369,1,4
0x00000044,25872,1,4
0x00000025,19920,1,5
0x00000022,19180,2,7
0x00000026,13536,1,7
0x00000033,12940,1,3
0x00000000,10355,30,56
0x00000018,2353,2,5
0x00000040,461,1,3
0x00000008,451,1,3
0x31c383b0,402,1,0
0x31ca06f0,400,1,0
0x00000029,150,1,3
0x00000002,82,3,2
0x8001c1a0,12,1,0
0x00000001,12,6,9
0x8001f220,2,1,0
0x000000fe,2,1,1
0x0000008b,2,1,1
0x000000b5,1,1,1
