dl_slot,0x00000000,0x00000001,0x00000003,0x00000004,0x00000005,0x00000006,0x00000007,0x00000008,0x00000009,0x0000000a,0x0000000b,0x0000000d,0x0000000e,0x0000000f,0x00000010,0x00000011,0x00000012,0x00000013,0x00000014,0x00000015,0x00000016,0x00000017,0x00000018,0x00000019,0x0000001a,0x00000028,0x00000029,0x0000002a,0x0000002b,0x0000002d,0x00000032,0x00000039
0x00000000,0,406,115,147,89,122,48,765,914,1083,219,346,224,70,341,675,366,615,1142,1042,425,393,144,150,75,71,85,74,93,65,51,0
0x00000001,0,0,0,0,0,0,0,1,1,3,0,2,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0x00000002,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0x00000008,0,451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000018,0,0,0,0,1567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,786,0
0x0000001a,0,0,0,0,0,0,0,0,43502,0,0,0,11538,401324,0,0,0,0,0,0,0,0,0,10695,0,0,0,0,0,0,0,0
0x0000001c,0,0,0,0,0,0,0,0,0,0,0,28267,0,0,0,0,0,0,0,0,0,0,3582,0,0,0,0,0,0,0,0,0
0x0000001d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53769,0,0,0,0,0,0,0,0,204998,0,0,0,0,0,0,0
0x0000001e,0,0,0,0,0,6845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145182,0,0,0,0,0,0,0,0,0,0,0
0x0000001f,0,0,0,0,0,0,4075,0,0,0,0,0,0,0,31604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000020,0,0,0,0,0,0,0,52315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000021,0,0,1525,0,0,0,0,0,0,41581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0,1132,0,0,0
0x00000022,0,19068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,0,0,0
0x00000023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30369,0,0,0,0,0,0,0,0,0,0
0x00000025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13536,0,0,0,0,0,0,0,0,0,0,0,0
0x00000029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0,0
0x00000033,0,0,0,12940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35807,0,0,0,0,0,0,0,0,0,0,0,0,0
0x00000040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,461,0,0
0x00000044,0,0,0,0,0,0,0,0,0,0,25872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0000008b,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000000b5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x000000fe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
0x31c383b0,0,402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x31ca06f0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x8001c1a0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x8001f220,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
