entity_ptr,event_count,unique_ws,unique_dl_slots,unique_gobjs,world_states
0x008BC5B0,429097,2,3,5,"0x0000000f,0x00000010"
0x015797C0,218263,1,1,6,0x0000001a
0x013E63A0,147126,2,3,13,"0x00000016,0x00000017"
0x014E5080,58973,6,7,15,"0x00000009,0x0000000a,0x0000000b,0x0000000d,0x00000011,0x00000012"
0x0127EDA0,58081,3,4,22,"0x00000008,0x00000009,0x0000000a"
0x0148DB20,45713,4,5,10,"0x00000012,0x00000013,0x00000014,0x00000015"
0x014A76E0,45088,3,4,11,"0x00000013,0x00000014,0x00000015"
0x0145F9D0,43267,2,3,14,"0x00000008,0x00000009"
0x0154D7D0,42297,2,3,14,"0x00000010,0x00000011"
0x014475D0,38644,2,3,9,"0x00000014,0x00000015"
0x008C2A60,38632,2,3,22,"0x00000016,0x00000017"
0x01358190,33563,2,3,13,"0x0000000a,0x0000000b"
0x015A31E0,31683,2,4,12,"0x0000000a,0x00000011"
0x015235E0,22669,2,4,8,"0x00000008,0x00000009"
0x014EF810,22629,2,4,13,"0x00000010,0x00000011"
0x01415A10,21891,2,4,5,"0x00000009,0x0000000a"
0x013B3830,21059,2,4,8,"0x00000016,0x00000017"
0x013AB080,20568,2,3,32,"0x00000014,0x00000015"
0x01389C60,20267,3,4,38,"0x00000013,0x00000014,0x00000015"
0x0105DA10,18889,2,3,17,"0x0000000d,0x0000000e"
0x014B87C0,18829,1,1,12,0x00000011
0x0142D7D0,17306,4,5,23,"0x0000000a,0x0000000b,0x00000012,0x00000016"
0x014ADC80,17141,3,4,12,"0x0000000a,0x00000012,0x00000013"
0x014D88A0,14845,3,4,12,"0x0000000a,0x00000012,0x00000013"
0x010B3E50,13385,2,3,19,"0x0000000d,0x0000000e"
0x011672B0,13176,3,5,21,"0x00000008,0x00000009,0x0000000a"
0x008CC9C0,12752,2,4,9,"0x00000004,0x00000005"
0x008D6310,12170,1,1,11,0x00000008
0x014218F0,10934,1,1,2,0x0000000a
0x014F9FD0,10199,2,3,12,"0x00000019,0x0000001a"
0x0113C8D0,10024,2,2,25,"0x0000000e,0x0000000f"
0x0125FD20,9862,3,4,9,"0x00000006,0x00000007,0x00000008"
0x011A86E0,8739,2,2,3,"0x00000001,0x00000039"
0x011A8570,8625,2,2,3,"0x00000001,0x00000039"
0x008D2650,8436,1,0,1,0x00000019
0x01474B70,8343,2,3,10,"0x00000014,0x00000015"
0x0148A140,8031,2,3,12,"0x00000018,0x00000019"
0x01119A70,7909,2,3,14,"0x0000000d,0x0000000e"
0x0139F3D0,6664,2,4,3,"0x00000013,0x00000014"
0x008CEF80,6393,3,4,5,"0x00000001,0x00000013,0x00000039"
0x010591C0,6323,2,3,11,"0x00000006,0x00000007"
0x013B8590,6076,2,3,5,"0x00000018,0x00000019"
0x01524EA0,6048,2,3,28,"0x0000000a,0x00000011"
0x008AFF50,5920,2,3,5,"0x00000001,0x00000029"
