world_state,total_events,dl_slot_primary,dl_slot_count,entity_count
0x0000000f,429907,0x0000001a,401324,7
0x0000001a,219862,0x0000001d,204998,4
0x00000016,172106,0x0000001e,145182,7
0x0000000a,116914,0x00000021,41581,15
0x00000009,108730,0x0000001a,43502,18
0x00000014,94068,0x00000036,35807,9
0x00000011,86481,0x0000001d,53769,12
0x00000008,85732,0x00000020,52315,11
0x00000013,72852,0x00000034,45819,11
0x0000000d,46967,0x0000001c,28267,13
0x00000010,46804,0x0000001f,31604,12
0x00000017,44813,0x00000023,30369,9
0x00000001,37162,0x00000022,19068,4
0x00000019,35335,0x0000001a,10695,7
0x0000000b,34650,0x00000044,25872,8
0x00000015,32034,0x00000026,13536,7
0x00000012,30557,0x00000025,19920,13
0x0000000e,21766,0x0000001a,11538,13
0x00000004,18709,0x00000033,12940,4
0x00000006,9773,0x0000001e,6845,4
0x00000007,7111,0x0000001f,4075,8
0x00000018,6395,0x0000001c,3582,4
0x00000005,3331,0x00000018,1567,3
0x00000003,2804,0x00000021,1525,2
0x0000002d,2231,0x00000040,461,3
0x0000002b,2178,0x00000021,1132,3
0x00000032,1683,0x00000018,786,4
0x00000028,1243,0x00000029,150,4
0x0000002a,1020,0x00000022,112,3
0x00000029,971,0x00000021,119,3
0x00000039,18,?,0,3
