world_state,init_scene_count
0x00000014,1545
0x0000000a,1260
0x00000009,1057
0x00000015,782
0x00000013,712
0x00000008,711
0x00000011,552
0x00000001,456
0x00000017,406
0x00000016,405
0x00000012,335
0x0000000b,300
0x0000000d,299
0x00000010,254
0x0000000e,234
0x00000004,170
0x00000019,118
0x00000018,104
0x0000001a,78
0x00000006,66
0x0000002d,62
0x00000005,62
0x00000007,50
0x00000028,38
0x00000032,37
0x0000000f,36
0x00000029,33
0x0000002a,32
0x0000002b,30
0x00000003,28
