address,expected_label,reason_not_observed
0x00153478,BOY_init_fn,NO_PROBE_AT_THIS_ADDRESS
0x001C1A98,BOY_hC_constructor,NO_PROBE_AT_THIS_ADDRESS
0x001C1DD8,BOY_hB_per_frame,NO_PROBE_AT_THIS_ADDRESS
0x001C1F58,BOY_hA_update,NO_PROBE_AT_THIS_ADDRESS
0x002564E0,SIF_Resource_Loader,NO_PROBE_AT_THIS_ADDRESS
0x00246458,sceSifCallRpc,NO_PROBE_AT_THIS_ADDRESS
0x0024BEF8,D_Cache_Invalidate,NO_PROBE_AT_THIS_ADDRESS
0x001A48A0,CODE_not_physics_table,NO_PROBE_AT_THIS_ADDRESS
0x0013F3F0,isysGObjProcAdd_,NO_PROBE_AT_THIS_ADDRESS
0x0013FD10,iosOmExeEachGObj,NO_PROBE_AT_THIS_ADDRESS
0x0013FC00,iosOmCreateDL,NO_PROBE_AT_THIS_ADDRESS
0x0013F9D0,_iosOmMain,NO_PROBE_AT_THIS_ADDRESS
0x001B76F8,initSceneGObj,NO_PROBE_AT_THIS_ADDRESS
0x0013DDA0,isysGObjInit,NO_PROBE_AT_THIS_ADDRESS
0x0013E4D0,isysGObjAlloc,NO_PROBE_AT_THIS_ADDRESS
0x0013E548,isysGObjRemove,NO_PROBE_AT_THIS_ADDRESS
0x0013E8D8,isysGObjAdd,NO_PROBE_AT_THIS_ADDRESS
