from_ws,to_ws,cycle,delta_cycles
0x00000001,0x00000039,31069196218,0
0x00000039,0x00000001,33017406390,1948210172
0x00000001,0x00000039,53488419492,20471013102
0x00000039,0x00000001,54875735761,1387316269
0x00000001,0x00000039,89700477092,34824741331
0x00000039,0x00000001,112942967545,23242490453
0x00000001,0x00000039,13994568327,-98948399218
0x00000039,0x00000001,23810047876,9815479549
0x00000001,0x00000039,58629859677,34819811801
0x00000039,0x00000001,74748018123,16118158446
0x00000001,0x00000039,16902774410,-57845243713
0x00000039,0x00000001,21862098765,4959324355
0x00000001,0x00000029,27930095404,6067996639
0x00000029,0x0000002a,29941165184,2011069780
0x0000002a,0x0000002b,31774805387,1833640203
0x0000002b,0x0000002d,43851272613,12076467226
0x0000002d,0x00000028,49063646407,5212373794
0x00000028,0x00000003,51254922352,2191275945
0x00000003,0x00000005,67422532954,16167610602
0x00000005,0x00000004,77448453367,10025920413
0x00000004,0x00000005,142707753334,65259299967
0x00000005,0x00000004,149010085153,6302331819
0x00000004,0x00000006,212793712217,63783627064
0x00000006,0x00000007,276813559514,64019847297
0x00000007,0x00000006,317469467105,40655907591
0x00000006,0x00000008,322142154819,4672687714
0x00000008,0x00000009,753592328346,431450173527
0x00000009,0x0000000a,771731638148,18139309802
0x0000000a,0x00000009,809893253780,38161615632
0x00000009,0x00000008,842829923961,32936670181
0x00000008,0x00000009,869269987660,26440063699
0x00000009,0x00000008,920996644947,51726657287
0x00000008,0x00000009,934916619573,13919974626
0x00000009,0x00000008,1091181027132,156264407559
0x00000008,0x00000009,1102498410377,11317383245
0x00000009,0x00000008,1127449826376,24951415999
0x00000008,0x00000009,1141231791353,13781964977
0x00000009,0x00000008,1159223214128,17991422775
0x00000008,0x00000009,1167760566454,8537352326
0x00000009,0x00000008,1234028258861,66267692407
0x00000008,0x00000009,1243452838924,9424580063
0x00000009,0x00000008,1261256962419,17804123495
0x00000008,0x00000009,1269823879461,8566917042
0x00000009,0x0000000a,1283615659585,13791780124
0x0000000a,0x00000009,1314077914947,30462255362
0x00000009,0x0000000a,1319539567075,5461652128
0x0000000a,0x00000009,1341208038912,21668471837
0x00000009,0x0000000a,1347231618453,6023579541
0x0000000a,0x00000009,1370191534318,22959915865
0x00000009,0x0000000a,1375150418683,4958884365
0x0000000a,0x0000000b,1388409745146,13259326463
0x0000000b,0x0000000a,1512614859354,124205114208
0x0000000a,0x0000000b,1560831980567,48217121213
0x0000000b,0x0000000a,1641946284710,81114304143
0x0000000a,0x0000000d,1668386377614,26440092904
0x0000000d,0x0000000b,1698602192897,30215815283
0x0000000b,0x0000000a,1750525954071,51923761174
0x0000000a,0x0000000d,1786952537106,36426583035
0x0000000d,0x0000000e,1909393057261,122440520155
0x0000000e,0x0000000d,1919054158213,9661100952
0x0000000d,0x0000000e,1964451836172,45397677959
0x0000000e,0x0000000d,1973383421100,8931584928
0x0000000d,0x0000000e,2054527415673,81143994573
