0x00100008 _start
0x001000B8 _exit
0x001000C0 _root
0x00100110 ResetEE
0x00100120 SetGsCrt
0x00100130 RFU003
0x00100140 Exit
0x00100150 ResumeIntrDispatch
0x00100160 LoadExecPS2
0x00100170 ExecPS2
0x00100180 RFU008
0x00100190 RFU009
0x001001A0 AddSbusIntcHandler
0x001001B0 RemoveSbusIntcHandler
0x001001C0 Interrupt2Iop
0x001001D0 SetVTLBRefillHandler
0x001001E0 SetVCommonHandler
0x001001F0 SetVInterruptHandler
0x00100200 AddIntcHandler
0x00100210 AddIntcHandler2
0x00100220 RemoveIntcHandler
0x00100230 AddDmacHandler
0x00100240 AddDmacHandler2
0x00100250 RemoveDmacHandler
0x00100260 _EnableIntc
0x00100270 _DisableIntc
0x00100280 _EnableDmac
0x00100290 _DisableDmac
0x001002A0 SetAlarm
0x001002B0 ReleaseAlarm
0x001002C0 _iEnableIntc
0x001002D0 _iDisableIntc
0x001002E0 _iEnableDmac
0x001002F0 _iDisableDmac
0x00100300 iSetAlarm
0x00100310 iReleaseAlarm
0x00100320 CreateThread
0x00100330 DeleteThread
0x00100340 StartThread
0x00100350 ExitThread
0x00100360 ExitDeleteThread
0x00100370 TerminateThread
0x00100380 iTerminateThread
0x00100390 DisableDispatchThread
0x001003A0 EnableDispatchThread
0x001003B0 ChangeThreadPriority
0x001003C0 iChangeThreadPriority
0x001003D0 RotateThreadReadyQueue
0x001003E0 _iRotateThreadReadyQueue
0x001003F0 ReleaseWaitThread
0x00100400 iReleaseWaitThread
0x00100410 GetThreadId
0x00100420 ReferThreadStatus
0x00100430 iReferThreadStatus
0x00100440 SleepThread
0x00100450 WakeupThread
0x00100460 _iWakeupThread
0x00100470 CancelWakeupThread
0x00100480 iCancelWakeupThread
0x00100490 SuspendThread
0x001004A0 _iSuspendThread
0x001004B0 ResumeThread
0x001004C0 iResumeThread
0x001004D0 JoinThread
0x001004E0 SetupThread
0x001004F0 SetupHeap
0x00100500 EndOfHeap
0x00100510 RFU063
0x00100520 CreateSema
0x00100530 DeleteSema
0x00100540 SignalSema
0x00100550 iSignalSema
0x00100560 WaitSema
0x00100570 PollSema
0x00100580 iPollSema
0x00100590 ReferSemaStatus
0x001005A0 iReferSemaStatus
0x001005B0 RFU073
0x001005C0 SetOsdConfigParam
0x001005D0 GetOsdConfigParam
0x001005E0 GetGsHParam
0x001005F0 GetGsVParam
0x00100600 SetGsHParam
0x00100610 SetGsVParam
0x00100620 CreateEventFlag
0x00100630 DeleteEventFlag
0x00100640 SetEventFlag
0x00100650 RFU083_iSetEventFlag
0x00100660 ClearEventFlag
0x00100670 RFU085_iClearEventFlag
0x00100680 RFU086_WaitEvnetFlag
0x00100690 RFU087_PollEvnetFlag
0x001006A0 RFU088_iPollEvnetFlag
0x001006B0 RFU089_ReferEventFlagStatus
0x001006C0 RFU090_iReferEventFlagStatus
0x001006D0 RFU091
0x001006E0 EnableIntcHandler
0x001006F0 iEnableIntcHandler
0x00100700 DisableIntcHandler
0x00100710 iDisableIntcHandler
0x00100720 EnableDmacHandler
0x00100730 iEnableDmacHandler
0x00100740 DisableDmacHandler
0x00100750 iDisableDmacHandler
0x00100760 KSeg0
0x00100770 EnableCache
0x00100780 DisableCache
0x00100790 GetCop0
0x001007A0 FlushCache
0x001007B0 CpuConfig
0x001007C0 iGetCop0
0x001007D0 iFlushCache
0x001007E0 iCpuConfig
0x001007F0 sceSifStopDma
0x00100800 SetCPUTimerHandler
0x00100810 SetCPUTimer
0x00100820 SetOsdConfigParam2
0x00100830 GetOsdConfigParam2
0x00100840 GsGetIMR
0x00100850 iGsGetIMR
0x00100860 GsPutIMR
0x00100870 iGsPutIMR
0x00100880 SetPgifHandler
0x00100890 SetVSyncFlag
0x001008A0 RFU116_SetSyscall
0x001008B0 _print
0x001008C0 sceSifDmaStat
0x001008D0 isceSifDmaStat
0x001008E0 sceSifSetDma
0x001008F0 isceSifSetDma
0x00100900 sceSifSetDChain
0x00100910 isceSifSetDChain
0x00100920 sceSifSetReg
0x00100930 sceSifGetReg
0x00100940 ExecOSD
0x00100950 Deci2Call
0x00100960 PSMode
0x00100970 MachineType
0x00100980 GetMemorySize
0x00100990 initsys_setup
0x001009A0 InitSysCall
0x001009E0 _InitSys
0x00100A08 DisableIntc
0x00100A70 EnableIntc
0x00100AD8 DisableDMAC
0x00100B40 EnableDMAC
0x00100BA8 iEnableIntc
0x00100BC8 iDisableIntc
0x00100BE8 iEnableDmac
0x00100C08 iDisableDmac
0x00100C28 intr_setup
0x00100C38 Copy
0x00100C48 kCopy
0x00100C80 GetEntryAddress
0x00100C90 InitAlarm
0x00100D68 topThread
0x00100E40 InitThread
0x00100F18 iWakeupThread
0x00100FB0 iRotateThreadReadyQueue
0x00101030 iSuspendThread
0x001010C8 kputchar
0x00101100 deci2Putchar
0x001011B0 serialPutchar
0x001011E8 ftoi
0x00101278 printfloat
0x001013E0 _printf
0x001019A8 kprintf
0x001019E0 scePrintf
0x00101A40 DIntr
0x00101A88 EIntr
0x00101AA0 sceDeci2Open
0x00101AE8 sceDeci2Close
0x00101B10 sceDeci2ReqSend
0x00101B40 sceDeci2Poll
0x00101B68 sceDeci2ExRecv
0x00101BA0 sceDeci2ExSend
0x00101BD8 sceDeci2ExReqSend
0x00101C08 sceDeci2ExLock
0x00101C30 sceDeci2ExUnLock
0x00101C58 kputs
0x00101C80 Main
0x001029B8 SetRootMatrixWithTransOffset
0x001029C0 GetRootMatrixRotOffsetByDObj
0x0025C100 sceGsSyncV
0x0025C5C0 sceGsSetDefAlphaEnv
0x0025D920 sceVu0RotMatrixY
0x0025D9C8 sceVu0RotMatrix
0x0025DD20 sceVu0DropShadowMatrix
0x0025DF50 sceVu0CopyVectorXYZ
0x0025E4D8 sceDmaSend
0x0025F2F8 sceTtyHandler
